project,city,state
government complex,marietta,ga
colville st,mcminnville,tn
clute no. 1 ur area,clute,tx
neighborhood dev prog,gainesville,ga
neighborhood dev prog,providence,ri
community renewal prog,pittsburgh,pa
west end no 1,salisbury,nc
13th-blue island,chicago,il
thomas jeffsn hts (fs),austin,tx
neighborhood dev prog,bloomington,in
barracks yard,charlotte amalie,vi
igualdad,fajardo,pr
east-west develop,mount airy,nc
bruce center ura,dyersburg,tn
liberty sassafras,erie,pa
neighborhood dev prog,williamsburg,va
south cove,boston,ma
neighborhood dev prog,independence,mo
yona u r area,yona,gu
auditiorium,charleston,sc
code enforcement proj,st marys,ga
john daly,dearborn heights,mi
john bleecker,utica,ny
macon coliseum,macon,ga
seminole hills,tulsa,ok
community renewal prog,garden city,mi
neighborhood dev prog,pasadena,ca
memorial park,johnson city,tn
university city,detroit,mi
bronx park south,new york,ny
washington sq e no 2,philadelphia,pa
project no 1,robbins,il
cagle st,louisville,ms
area b,galesburg,il
ensley-pratt city (fs),birmingham,al
buckroe beach,hampton,va
silver city,kansas city,ks
code enforcement proj,lees summit,mo
community renewal prog,saginaw,mi
west sherman,paris,tx
old west school house,uniontown,pa
neighborhood dev prog,rock springs,wy
kings feed store site,uniontown,pa
towards a new tomorrow,mccomb,ms
jackson st,smithville,tn
central district (gn),manchester,nh
code enforcement proj,biloxi,ms
norris,philadelphia,pa
central city,parkersburg,wv
lasalle park (gn),south bend,in
bunker hill,shamokin,pa
downtown,jackson,ms
harborview,juneau,ak
demolition project,lawrence,ma
new town (gn),mcgehee,ar
eastview,mcalester,ok
code enforcement proj,joplin,mo
south central (gn),springfield,mo
lockwood hill,providence,ri
northside area no 1,bethlehem,pa
nolan f ziegler center,harrisburg,pa
south pottstown,north coventry,pa
neighborhood dev prog,waycross,ga
temple area,los angeles,ca
west end,morrilton,ar
demolition project,duquesne,pa
community renewal prog,berlin,ct
flake hill,eufaula,al
journal square west,jersey city,nj
wash school rehab,canton,oh
flood distress area,windber,pa
west edwin st,williamsport,pa
neighborhood dev prog,natchitoches,la
downtown (gn),batavia,ny
community renewal prog,baltimore,md
gateway,seaside,ca
community renewal prog,wilmington,de
neighborhood dev prog,carlsbad,nm
fifth ave,wildwood,nj
community renewal project,lowell,ma
seldovia area,seldovia,ak
neighborhood dev prog,van buren,ar
big springs,shelbyville,tn
neighborhood dev prog,easton,pa
greater laurel (gn),laurel,ms
demolition project,rock island,il
neighborhood dev prog,olean,ny
e j christman bus-inc,national city,ca
sun city no 2,alma,ga
demolition project,bristol twp,pa
wilson ave plaza,prichard,al
route 23,wayne twp,nj
north meadows,east hartford,ct
t e moone,montezuma,ga
kilbourntown no 2,milwaukee,wi
code enforcement proj,tuscon,ar
concord terrance,saint paul,mn
montgomery dis area,montgomery,pa
central bus dist,kings mountain,nc
